Selected,player,player_id,season,lg,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
No Yes,string,string,continuous,ABA NBA,continuous,2TM 3TM 4TM 5TM ANA ATL BAL BLB BOS BRK BUF CAP CAR CHA CHH CHI CHO CHP CHZ CIN CLE DAL DEN DET DLC DNA DNR FLO FTW GSW HOU HSM INA IND INO KCK KCO KEN LAC LAL LAS MEM MIA MIL MIN MLH MMF MMP MMS MMT MNL MNM MNP NJA NJN NOB NOH NOJ NOK NOP NYA NYK NYN OAK OKC ORL PHI PHO PHW POR PTC PTP ROC SAA SAC SAS SDA SDC SDR SDS SEA SFW SSL STL SYR TEX TOR UTA UTS VAN VIR WAS WSA WSB,C PF PG SF SG,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Cheick Diallo,diallch01,2017,NBA,20,NOP,PF,17,0,199,6.5,13.7,0.474,0.0,0.0,,6.5,13.7,0.474,0.474,2.7,3.8,0.714,4.2,9.0,13.2,0.7,0.7,1.3,1.3,3.1,15.7
No,Boris Diaw,diawbo01,2017,NBA,34,UTA,PF,73,33,1283,4.1,9.2,0.446,0.6,2.3,0.247,3.5,6.9,0.512,0.477,0.7,1.0,0.743,1.3,3.1,4.4,4.8,0.5,0.3,2.4,2.3,9.5
No,Gorgui Dieng,dienggo01,2017,NBA,27,MIN,PF,82,82,2653,4.5,9.0,0.502,0.2,0.6,0.372,4.3,8.4,0.511,0.514,1.8,2.3,0.814,2.6,6.2,8.8,2.1,1.2,1.3,1.5,3.4,11.1
No,Spencer Dinwiddie,dinwisp01,2017,NBA,23,BRK,PG,59,18,1334,3.6,8.1,0.444,1.0,2.7,0.376,2.6,5.4,0.478,0.507,3.4,4.3,0.792,0.7,3.7,4.4,5.0,1.2,0.6,1.8,3.2,11.7
No,Toney Douglas,douglto01,2017,NBA,30,MEM,PG,24,0,394,3.9,10.7,0.368,0.6,3.8,0.167,3.3,6.9,0.480,0.397,2.2,2.6,0.828,1.2,4.4,5.6,5.1,1.6,0.5,1.9,4.6,10.7
No,Goran Dragić,dragigo01,2017,NBA,30,MIA,PG,73,73,2459,7.8,16.5,0.475,1.7,4.2,0.405,6.1,12.2,0.499,0.527,4.4,5.5,0.790,0.9,3.2,4.1,6.2,1.3,0.2,3.1,2.9,21.7
No,Andre Drummond,drumman01,2017,NBA,23,DET,C,81,81,2409,7.2,13.6,0.530,0.0,0.1,0.286,7.2,13.5,0.532,0.531,2.0,5.3,0.386,5.2,11.5,16.7,1.3,1.9,1.3,2.3,3.5,16.5
No,Jared Dudley,dudleja01,2017,NBA,31,PHO,PF,64,7,1362,4.1,9.1,0.454,2.0,5.4,0.379,2.1,3.8,0.559,0.565,1.1,1.7,0.662,0.8,5.1,5.9,3.2,1.1,0.4,1.9,4.1,11.5
No,Mike Dunleavy,dunlemi02,2017,NBA,36,2TM,SF,53,2,841,4.0,9.4,0.423,2.3,5.7,0.396,1.7,3.7,0.465,0.543,1.5,1.9,0.800,0.8,4.2,4.9,2.1,0.6,0.3,1.2,2.9,11.8
No,Mike Dunleavy,dunlemi02,2017,NBA,36,CLE,SF,23,2,366,3.5,8.9,0.400,2.0,5.6,0.351,1.6,3.2,0.485,0.511,1.4,1.9,0.737,0.5,4.1,4.6,2.0,0.6,0.2,1.4,3.1,10.4
No,Mike Dunleavy,dunlemi02,2017,NBA,36,ATL,SF,30,0,475,4.3,9.9,0.438,2.5,5.8,0.429,1.8,4.0,0.453,0.565,1.7,2.0,0.846,1.0,4.2,5.2,2.3,0.7,0.4,1.1,2.7,12.8
No,Kris Dunn,dunnkr01,2017,NBA,22,MIN,PG,78,7,1333,3.2,8.5,0.377,0.6,2.0,0.288,2.6,6.5,0.404,0.411,1.0,1.6,0.610,0.6,3.8,4.5,5.1,2.1,1.0,2.4,4.8,7.9
No,Kevin Durant,duranke01,2017,NBA,28,GSW,PF,62,62,2070,9.6,17.8,0.537,2.0,5.4,0.375,7.5,12.4,0.608,0.594,5.8,6.7,0.875,0.7,8.2,8.9,5.2,1.1,1.7,2.4,2.0,27.0
